;Veroeffentlichungs-Nummer;Erfinder;Anmelder/Inhaber
2609;WO002019099441A1;CHATTERJEE ARINDAM, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
2610;WO002019099441A1;CHERUKAT ARUN, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
2611;WO002019099441A1;MILLER DAVID, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
2612;WO002019099441A1;NAGA RAJAN, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
2613;WO002019099441A1;PRUNER JOHN, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
2614;WO002019099441A1;SHUKLA SULABH, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
2615;WO002019099437A1;ARORA PARIKSHIT, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
2616;WO002019099437A1;BERTI CHRISTOPHER, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
2617;WO002019099437A1;DEVADI MANJUNATH B, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
2618;WO002019099437A1;EYLEY DAVID, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
2619;WO002019099437A1;KURMAN MITCHELL, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
2620;WO002019094488A1;DELIWALA MANISH, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
2621;WO002019094488A1;KOTHA VARAPRASAD, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
2622;WO002019094488A1;MADDUKURI AJAY, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
2623;WO002019092552A1;COVACI ALEXANDRA, GB;NCHAIN HOLDINGS LTD, AG
2624;WO002019092552A1;MADEO SIMONE, GB;NCHAIN HOLDINGS LTD, AG
2625;WO002019092552A1;MOTYLINSKI PATRICK, GB;NCHAIN HOLDINGS LTD, AG
2626;WO002019092552A1;VINCENT STEPHANE, GB;NCHAIN HOLDINGS LTD, AG
2627;WO002019089376A1;CANTRELL ROBERT L, US;WALMART APOLLO LLC, US
2628;WO002019089376A1;HIGH DONALD R, US;WALMART APOLLO LLC, US
2629;WO002019089376A1;MCHALE BRIAN G, GB;WALMART APOLLO LLC, US
2630;WO002019089376A1;O'BRIEN JOHN J, US;WALMART APOLLO LLC, US
2631;WO002019089376A1;TOVEY DAVID G, US;WALMART APOLLO LLC, US
2632;WO002019089376A1;WILKINSON BRUCE W, US;WALMART APOLLO LLC, US
2633;WO002019083610A1;ARORA ANKUR, IN;MASTERCARD INTERNATIONAL INC, US
2634;WO002019083610A1;BISHNOI VIKAS, IN;MASTERCARD INTERNATIONAL INC, US
2635;WO002019083610A1;KUMAWAT JAIPAL, IN;MASTERCARD INTERNATIONAL INC, US
2636;WO002019083610A1;MAHESHWARI NISHANT, IN;MASTERCARD INTERNATIONAL INC, US
2637;WO002019083610A1;SENGUPTA SHUVAM, IN;MASTERCARD INTERNATIONAL INC, US
2638;WO002019081816A1;BITAULD DAVID, GB;NOKIA TECHNOLOGIES OY, FI
2639;WO002019081816A1;LI HONGWEI, GB;NOKIA TECHNOLOGIES OY, FI
2640;WO002019081816A1;MARTIN-LOPEZ ENRIQUE, GB;NOKIA TECHNOLOGIES OY, FI
2641;WO002019081816A1;PALYUTINA KARINA, GB;NOKIA TECHNOLOGIES OY, FI
2642;WO002019081816A1;ROENNOW TROELS F, GB;NOKIA TECHNOLOGIES OY, FI
2643;WO002019081071A1;JETZFELLNER THOMAS, DE;SIEMENS AG, DE
2644;WO002019078880A1;SOUNDARARAJAN ABILASH, IN;HEWLETT PACKARD ENTPR DEV LP, US
2645;WO002019078880A1;TENNEFOSS MICHAEL REID, US;HEWLETT PACKARD ENTPR DEV LP, US
2646;WO002019078879A1;SOUNDARARAJAN ABILASH, IN;HEWLETT PACKARD ENTPR DEV LP, US
2647;WO002019078879A1;TENNEFOSS MICHAEL REID, US;HEWLETT PACKARD ENTPR DEV LP, US
2648;WO002019078878A1;SOUNDARARAJAN ABILASH, IN;HEWLETT PACKARD ENTPR DEV LP, US
2649;WO002019078878A1;TENNEFOSS MICHAEL REID, US;HEWLETT PACKARD ENTPR DEV LP, US
2650;WO002019078877A1;SOUNDARARAJAN ABILASH, IN;HEWLETT PACKARD ENTPR DEV LP, US
2651;WO002019078877A1;TENNEFOSS MICHAEL, US;HEWLETT PACKARD ENTPR DEV LP, US
